date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:20	429/429	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ad-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/career-02.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/career-02.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:20	1334/1334	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22536-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/career-03.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/career-03.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:20	2510/2510	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229ce-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/career-04.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/career-04.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:21	153071/153071	---M--	200	added ('OK')	image/jpeg	etag:%22255ef-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/course/course-26.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/course-26.jpg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:21	2604/2604	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a2c-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/student.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/student.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:25	167742/167742	---M--	200	added ('OK')	image/jpeg	etag:%2228f3e-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/course/course-27.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/course-27.jpg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:26	95393/95393	---M--	200	added ('OK')	image/jpeg	etag:%22174a1-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/course/course-20.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/course-20.jpg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:28	107163/107163	---M--	200	added ('OK')	image/jpeg	etag:%221a29b-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/course/course-21.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/course-21.jpg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:31	34669/34669	---M--	200	added ('OK')	image/jpeg	etag:%22876d-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/course/course-22.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/course-22.jpg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:31	83114/83114	---M--	200	added ('OK')	image/jpeg	etag:%22144aa-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/course/course-23.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/course-23.jpg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
